Season,Round,Date,Home,Result,Away
1978/1979,1. Round,13/09/1978,Grasshopper Club ZÃ¼rich,8:0,Valletta FC
1975/1976,1. Round,01/10/1975,PSV Eindhoven,8:0,Linfield FC
1973/1974,1. Round,19/09/1973,Club Brugge KV,8:0,Floriana FC
1971/1972,1. Round,29/09/1971,Grasshopper Club ZÃ¼rich,8:0,FC Reipas Lahti
1971/1972,1. Round,15/09/1971,Feijenoord,8:0,Olympiakos Nikosia
1969/1970,1. Round,01/10/1969,Legia Warszawa,8:0,UT Arad
1969/1970,1. Round,24/09/1969,Olympiakos Nikosia,0:8,Real Madrid
1969/1970,1. Round,17/09/1969,Crvena Zvezda,8:0,Linfield FC
1966/1967,1. Round,20/09/1966,TSV 1860 MÃ¼nchen,8:0,Omonia Nikosia
1965/1966,1. Round,30/09/1965,Stade Dudelange,0:8,SL Benfica
1962/1963,1. Round,12/09/1962,AC Milan,8:0,Union Luxembourg
1958/1959,1. Round,17/09/1958,AtlÃ©tico Madrid,8:0,Drumcondra Dublin
1957/1958,Quarter-finals,23/01/1958,Real Madrid,8:0,Sevilla FC
1961/1962,1. Round,13/09/1961,B 1913 Odense,9:2,Spora Luxemburg
1990/1991,1. Round,03/10/1990,Portadown FC,1:8,FC Porto
1981/1982,1. Round,30/09/1981,Crvena Zvezda,8:1,Hibernians FC
1979/1980,1. Round,03/10/1979,AFC Ajax,8:1,HJK Helsinki
1979/1980,1. Round,19/09/1979,HJK Helsinki,1:8,AFC Ajax
1968/1969,1. Round,02/10/1968,SL Benfica,8:1,Valur ReykjavÃ­k
1967/1968,1. Round,04/10/1967,Budapesti Vasas,8:1,Dundalk FC
1962/1963,1. Round,05/09/1962,Dundee FC,8:1,1. FC KÃ¶ln
1961/1962,1. Round,20/09/1961,Tottenham Hotspur,8:1,GÃ³rnik Zabrze
1956/1957,Round of 16,17/10/1956,CDNA Sofia,8:1,Dinamo BucureÅti
2018/2019,Round of 16,12/03/2019,Manchester City,7:0,FC Schalke 04
